midx,midy,midz,CuT,As,Rec,wi,fminz,i_arci
14700,106980,2200,0,0,0,15.231901,0,0
14740,106980,2200,0,0,0,14.703886,0,0
14780,106980,2200,0,0,0,14.508455,0,0
14820,106980,2200,0,0,0,15.335102,0,0
14860,106980,2200,0,0,0,16.921207,0,0
14900,106980,2200,0,0,0,16.603655,0,0
14940,106980,2200,0,0,0,16.94175,0,0
14980,106980,2200,0,0,0,15.371989,0,0
15020,106980,2200,0,0,0,15.0945,0,0
15060,106980,2200,0,0,0,14.29573,0,0
15100,106980,2200,0,0,0,14.901671,0,0
15140,106980,2200,0,0,0,16.093332,0,0
15180,106980,2200,0,0,0,16.927351,0,0
15220,106980,2200,0,0,0,16.646547,0,0
15260,106980,2200,0,0,0,17.599682,0,0
15300,106980,2200,0,0,0,17.961685,0,0
15340,106980,2200,0,0,0,17.370354,0,0
15380,106980,2200,0,0,0,17.226845,0,0
15420,106980,2200,0,0,0,17.58978,0,0
15460,106980,2200,0,0,0,17.212656,0,0
15500,106980,2200,0,0,0,17.479403,0,0
15540,106980,2200,0,0,0,16.96927,0,0
15580,106980,2200,0,0,0,15.613729,0,0
15620,106980,2200,0,0,0,15.240612,0,0
15660,106980,2200,0,0,0,15.818571,0,0
15700,106980,2200,0,0,0,16.02409,0,0
15740,106980,2200,0,0,0,15.428081,0,0
15780,106980,2200,0,0,0,16.48721,0,0
15820,106980,2200,0,0,0,16.538477,0,0
15860,106980,2200,0,0,0,16.04984,0,0
15900,106980,2200,0,0,0,16.001743,0,0
15940,106980,2200,0,0,0,15.220196,0,0
15980,106980,2200,0,0,0,14.93815,0,0
16020,106980,2200,0,0,0,14.54337,0,0
16060,106980,2200,0,0,0,15.384909,0,0
16100,106980,2200,0,0,0,16.168272,0,0
16140,106980,2200,0,0,0,15.31733,0,0
16180,106980,2200,0,0,0,15.122865,0,0
16220,106980,2200,0,0,0,14.825991,0,0
16260,106980,2200,0,0,0,14.791319,0,0
16300,106980,2200,0,0,0,14.740494,0,0
16340,106980,2200,0,0,0,15.70465,0,0
16380,106980,2200,0,0,0,15.324409,0,0
16420,106980,2200,0,0,0,15.185428,0,0
16460,106980,2200,0,0,0,16.044725,0,0
16500,106980,2200,0,0,0,17.799017,0,0
16540,106980,2200,0,0,0,14.080462,0,1
16580,106980,2200,0,0,0,13.826093,0,1
16620,106980,2200,0,0,0,14.239126,0,1
16660,106980,2200,0,0,0,14.688798,0,1
16700,106980,2200,0,0,0,15.81842,0,1
16740,106980,2200,0,0,0,14.283709,0,1
16780,106980,2200,0,0,0,15.100317,0,1
